id;name;status;specialite;address;code_p;ville;phone_number;email;indicatif;indicatif_content_type
1;connecting microchip;ENSEIGNANT;INFO;"Tddg8";optical;transition Savings;Hryvnia teal Account;"7va@imag.fr";../fake-data/blob/hipster.png;image/png
2;maximized withdrawal;ETUDIANT;GGC;"Utzvi8";primary;analyzer lime Keyboard;Soap Product;"cl1t@etu&univ-grenoble-alpes.fr";../fake-data/blob/hipster.png;image/png
3;redundant Creek Functionality;ETUDIANT;GGC;"Pcnx4";Rubber ;Buckinghamshire customized user-centric;cross-platform invoice;"Hd@etuEuniv-grenoble-alpes.fr";../fake-data/blob/hipster.png;image/png
4;Soap Orchard;ENSEIGNANT;MAT;"Scft1";bi-dire;user-centric Kuwait Account;EXE Health Toys;"LOfF0@imag.fr";../fake-data/blob/hipster.png;image/png
5;policy View;ENSEIGNANT;PRI;"Rt2";Michiga;Facilitator Executive CSS;Towels Industrial Island;"N2@univ-grenoble-alpessss.fr";../fake-data/blob/hipster.png;image/png
6;Wyoming Profit-focused redundant;ENSEIGNANT;TIS;"Atm8";Loan;Arkansas paradigms Namibia;RAM Washington Berkshire;"-Wg@imag.fr";../fake-data/blob/hipster.png;image/png
7;HTTP;ENSEIGNANT;MAT;"Ulqqcug7";Directo;Granite reciprocal fuchsia;Slovenia transmit;"tmQGCn@etu`univ-grenoble-alpes.fr";../fake-data/blob/hipster.png;image/png
8;efficient bypassing;ENSEIGNANT;GGC;"Yqlsms1";Multi-l;California;Face up;"FWz@etu+univ-grenoble-alpes.fr";../fake-data/blob/hipster.png;image/png
9;Implementation;ENSEIGNANT;MAT;"Zchte5";Soft Pr;UIC-Franc Locks olive;brandXX;"M6kyU2@imag.fr";../fake-data/blob/hipster.png;image/png
10;Forint TCP convergence;ETUDIANT;E2I;"Xduifrw0";front-e;CustomerXX;back-end;"00c@imag.fr";../fake-data/blob/hipster.png;image/png
